user_id,last_order_date,recency,frequency,monetary,last_login,days_since_login,session_count,churn_flag,segment,churn_risk_score,recommended_action,revenue_at_risk,priority_level,final_priority_score
214,2026-02-15,68,1,4284.93,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4284.93,HIGH,NULL
215,2026-02-22,61,1,3283.97,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3283.97,HIGH,NULL
216,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
217,2026-03-18,37,1,4926.84,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4926.84,HIGH,NULL
218,2026-04-02,22,3,8090.69,NULL,NULL,NULL,0,"High Value Active",NULL,Monitor,0.00,NORMAL,NULL
219,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
220,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
221,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
222,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
223,2025-12-19,126,2,3533.01,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3533.01,HIGH,NULL
224,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
225,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
226,2026-02-03,80,1,605.16,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
227,2026-02-06,77,1,212.20,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
228,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
229,2026-01-27,87,1,1577.32,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
230,2025-12-15,130,1,2496.46,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
231,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
232,2026-04-09,15,1,1501.97,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
233,2025-12-19,126,1,1878.03,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
234,2025-12-31,114,1,149.23,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
235,2025-11-05,170,1,2973.50,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
236,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
237,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
238,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
239,2026-01-27,87,2,5289.29,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",5289.29,HIGH,NULL
240,2026-04-01,23,1,2376.25,NULL,NULL,NULL,0,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
241,2025-12-09,136,1,3026.92,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3026.92,HIGH,NULL
242,2026-03-16,39,2,6977.20,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",6977.20,HIGH,NULL
243,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
244,2026-04-04,20,1,1909.21,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
245,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
246,2026-03-10,45,1,283.60,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
247,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
248,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
249,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
250,2025-12-17,128,1,1701.74,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
251,2026-02-28,55,1,1498.47,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
252,2026-02-11,72,2,6025.65,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",6025.65,HIGH,NULL
253,2026-04-13,11,1,418.40,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
254,2026-04-10,14,1,781.91,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
255,2026-03-04,51,1,956.19,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
256,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
257,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
258,2026-03-19,36,2,6462.40,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",6462.40,HIGH,NULL
259,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
260,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
261,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
262,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
263,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
264,2026-03-15,40,3,10318.86,NULL,NULL,NULL,1,"High Value At Risk",NULL,Monitor,10318.86,HIGH,NULL
265,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
266,2026-01-28,86,1,466.69,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
267,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
268,2026-03-08,47,1,4959.53,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4959.53,HIGH,NULL
269,2026-03-03,52,2,2214.07,NULL,NULL,NULL,1,"Churned Users",NULL,"Send Push Notification",2214.07,MEDIUM,NULL
270,2025-12-24,121,1,182.55,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
271,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
272,2026-03-26,29,2,5690.60,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
273,2026-03-30,25,2,4347.85,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
274,2026-03-10,45,1,4526.22,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4526.22,HIGH,NULL
275,2026-04-13,11,1,4840.23,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
276,2026-02-11,72,1,3310.74,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3310.74,HIGH,NULL
277,2026-04-07,17,1,677.09,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
278,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
279,2026-04-15,9,4,14921.10,NULL,NULL,NULL,0,"High Value Active",NULL,Monitor,0.00,NORMAL,NULL
280,2026-02-20,63,2,2094.40,NULL,NULL,NULL,1,"Churned Users",NULL,"Send Push Notification",2094.40,MEDIUM,NULL
281,2026-01-17,97,1,270.79,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
282,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
283,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
284,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
285,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
286,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
287,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
288,2026-01-17,97,1,1479.98,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
289,2026-04-22,2,1,3250.42,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
290,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
291,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
292,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
293,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
294,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
295,2025-10-28,178,1,2557.61,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
296,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
297,2026-03-26,29,1,1812.23,NULL,NULL,NULL,0,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
298,2026-03-06,49,1,4474.29,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4474.29,HIGH,NULL
299,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
300,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
301,2025-11-24,151,1,3663.98,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3663.98,HIGH,NULL
302,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
303,2025-12-14,131,1,795.62,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
304,2026-02-24,59,4,4618.83,NULL,NULL,NULL,1,"High Value At Risk",NULL,Monitor,4618.83,HIGH,NULL
305,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
306,2026-01-08,106,1,2194.44,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
307,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
308,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
309,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
310,2026-02-16,67,1,1786.50,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
311,2026-04-20,4,1,2954.09,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
312,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
313,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
314,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
315,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
316,2026-01-28,86,1,4182.51,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4182.51,HIGH,NULL
317,2025-11-10,165,1,3534.24,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3534.24,HIGH,NULL
318,2026-03-04,51,5,14343.58,NULL,NULL,NULL,1,"High Value At Risk",NULL,Monitor,14343.58,HIGH,NULL
319,2026-03-28,27,2,3632.42,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
320,2025-10-29,177,1,1737.16,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
321,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
322,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
323,2026-01-21,93,2,8246.63,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",8246.63,HIGH,NULL
324,2026-03-25,30,1,1299.89,NULL,NULL,NULL,0,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
325,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
326,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
327,2026-04-23,1,1,2203.94,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
328,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
329,2026-01-19,95,1,142.98,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
330,2026-02-25,58,3,9436.25,NULL,NULL,NULL,1,"High Value At Risk",NULL,Monitor,9436.25,HIGH,NULL
331,2026-03-08,47,2,7702.05,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",7702.05,HIGH,NULL
332,2026-02-24,59,2,9017.16,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",9017.16,HIGH,NULL
333,2026-04-10,14,1,3732.45,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
334,2025-10-29,177,1,1419.70,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
335,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
336,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
337,2025-12-03,142,1,1448.14,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
338,2026-02-14,69,2,5565.49,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",5565.49,HIGH,NULL
339,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
340,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
341,2026-02-20,63,1,392.07,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
342,2026-04-02,22,2,6426.48,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
343,2025-11-25,150,1,2474.58,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
344,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
345,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
346,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
347,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
348,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
349,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
350,2025-11-10,165,1,4353.95,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4353.95,HIGH,NULL
351,2026-04-11,13,2,3139.89,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
352,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
353,2025-12-31,114,1,448.97,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
354,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
355,2026-02-23,60,2,5701.28,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",5701.28,HIGH,NULL
356,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
357,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
358,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
359,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
360,2025-12-21,124,1,3405.34,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3405.34,HIGH,NULL
361,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
362,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
363,2026-03-22,33,1,703.94,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
364,2025-12-29,116,1,2228.00,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
365,2026-02-08,75,1,1501.31,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
366,2025-12-27,118,1,2403.73,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
367,2026-04-11,13,1,2764.76,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
368,2025-11-11,164,1,3736.30,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3736.30,HIGH,NULL
369,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
370,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
371,2026-02-15,68,1,372.39,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
372,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
373,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
374,2026-02-11,72,2,1114.14,NULL,NULL,NULL,1,"Churned Users",NULL,"Send Push Notification",1114.14,MEDIUM,NULL
375,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
376,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
377,2026-01-08,106,1,549.09,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
378,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
379,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
380,2025-10-27,179,1,533.72,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
381,2025-11-06,169,1,4071.55,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4071.55,HIGH,NULL
382,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
383,2025-12-21,124,2,6703.23,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",6703.23,HIGH,NULL
384,2026-03-06,49,1,2455.17,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
385,2025-12-03,142,1,288.19,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
386,2025-12-02,143,2,698.75,NULL,NULL,NULL,1,"Churned Users",NULL,"Send Push Notification",698.75,MEDIUM,NULL
387,2025-11-16,159,1,2563.73,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
388,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
389,2025-11-19,156,2,4328.29,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4328.29,HIGH,NULL
390,2025-11-06,169,1,1902.41,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
391,2026-03-17,38,3,6687.46,NULL,NULL,NULL,1,"High Value At Risk",NULL,Monitor,6687.46,HIGH,NULL
392,2026-03-06,49,2,6789.78,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",6789.78,HIGH,NULL
393,2026-03-19,36,1,403.92,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
394,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
395,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
396,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
397,2026-01-17,97,1,3775.88,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3775.88,HIGH,NULL
398,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
399,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
400,2025-12-05,140,1,4579.47,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4579.47,HIGH,NULL
401,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
402,2025-12-23,122,1,2087.42,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
403,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
404,2026-03-11,44,1,1238.88,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
405,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
406,2026-04-08,16,3,9562.19,NULL,NULL,NULL,0,"High Value Active",NULL,Monitor,0.00,NORMAL,NULL
407,2026-01-26,88,2,6023.76,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",6023.76,HIGH,NULL
408,2026-02-08,75,1,337.57,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
409,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
410,2026-03-22,33,1,4536.04,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",4536.04,HIGH,NULL
411,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
412,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
413,2026-04-23,1,1,4965.34,NULL,NULL,NULL,0,"High Value Active",NULL,"Send Push Notification",0.00,NORMAL,NULL
414,2025-11-02,173,1,3862.65,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3862.65,HIGH,NULL
415,2025-12-30,115,1,717.49,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
416,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
417,2026-03-16,39,1,3048.53,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Send Push Notification",3048.53,HIGH,NULL
418,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
419,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
420,2026-04-17,7,3,3702.15,NULL,NULL,NULL,0,"High Value Active",NULL,Monitor,0.00,NORMAL,NULL
421,2026-03-19,36,4,15653.64,NULL,NULL,NULL,1,"High Value At Risk",NULL,"Offer Loyalty Reward",15653.64,HIGH,NULL
422,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
423,2026-03-21,34,1,2176.29,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
424,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
425,2026-01-28,86,1,1447.28,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
426,NULL,NULL,0,0.00,NULL,NULL,NULL,0,"Regular Users",NULL,"Send Push Notification",0.00,NORMAL,NULL
427,2025-11-08,167,1,2722.77,NULL,NULL,NULL,1,"Low Engagement",NULL,"Send Push Notification",0.00,LOW,NULL
